dataset,combo,models,auc,recall,f1,fpr
CIC-IDS2017,AE only,ae,0.9057,0.5751,0.7129,0.05
CIC-IDS2017,VAE only,vae,0.7942,0.0547,0.1001,0.05
CIC-IDS2017,SVDD only,svdd,0.8218,0.5871,0.7224,0.05
CIC-IDS2017,AE + VAE,ae+vae,0.8065,0.0973,0.1713,0.05
CIC-IDS2017,AE + SVDD,ae+svdd,0.9221,0.8011,0.8711,0.05
CIC-IDS2017,VAE + SVDD,vae+svdd,0.8845,0.4636,0.6174,0.05
CIC-IDS2017,Full ensemble,ae+vae+svdd,0.8954,0.5075,0.6566,0.05
CSE-CIC-IDS2018,AE only,ae,0.9693,0.7272,0.8345,0.05
CSE-CIC-IDS2018,VAE only,vae,0.923,0.5964,0.74,0.05
CSE-CIC-IDS2018,SVDD only,svdd,0.6892,0.4387,0.6033,0.05
CSE-CIC-IDS2018,AE + VAE,ae+vae,0.9477,0.692,0.8105,0.05
CSE-CIC-IDS2018,AE + SVDD,ae+svdd,0.9295,0.699,0.8153,0.05
CSE-CIC-IDS2018,VAE + SVDD,vae+svdd,0.9225,0.6126,0.7525,0.05
CSE-CIC-IDS2018,Full ensemble,ae+vae+svdd,0.9419,0.6895,0.8088,0.05
UNSW-NB15,AE only,ae,0.8696,0.2075,0.1818,0.05
UNSW-NB15,VAE only,vae,0.8212,0.3263,0.2717,0.05
UNSW-NB15,SVDD only,svdd,0.7152,0.3499,0.2886,0.05
UNSW-NB15,AE + VAE,ae+vae,0.8594,0.4054,0.3268,0.05
UNSW-NB15,AE + SVDD,ae+svdd,0.8281,0.298,0.2511,0.05
UNSW-NB15,VAE + SVDD,vae+svdd,0.8626,0.3432,0.2838,0.05
UNSW-NB15,Full ensemble,ae+vae+svdd,0.8786,0.334,0.2773,0.05
BoT-IoT,AE only,ae,,0.9069,0.9512,0.0
BoT-IoT,VAE only,vae,,0.6855,0.8134,0.0
BoT-IoT,SVDD only,svdd,,0.9248,0.9609,0.0
BoT-IoT,AE + VAE,ae+vae,,0.8374,0.9115,0.0
BoT-IoT,AE + SVDD,ae+svdd,,0.9448,0.9716,0.0
BoT-IoT,VAE + SVDD,vae+svdd,,0.8351,0.9102,0.0
BoT-IoT,Full ensemble,ae+vae+svdd,,0.9119,0.9539,0.0
CIC-ToN-IoT,AE only,ae,0.9552,0.9302,0.1407,0.0496
CIC-ToN-IoT,VAE only,vae,0.9272,0.857,0.1365,0.047
CIC-ToN-IoT,SVDD only,svdd,0.9144,0.8947,0.1835,0.0345
CIC-ToN-IoT,AE + VAE,ae+vae,0.9509,0.9222,0.1426,0.0483
CIC-ToN-IoT,AE + SVDD,ae+svdd,0.9482,0.9336,0.13,0.0546
CIC-ToN-IoT,VAE + SVDD,vae+svdd,0.9407,0.9199,0.1421,0.0484
CIC-ToN-IoT,Full ensemble,ae+vae+svdd,0.9499,0.9211,0.1403,0.0492
