auc,recall,f1,fpr,dataset,baseline
0.5551226241316704,0.1481141404153129,0.24968670093855766,0.049995388304740825,CIC-IDS2017,HBOS
0.616556939783304,0.24626656061572547,0.39031280358298126,0.05000377989265105,CIC-IDS2018,HBOS
0.39539363621870977,0.060454647760522166,0.05661053385883196,0.04999947675209561,UNSW-NB15,HBOS
,0.428002,0.5994417374765582,0.0,BoT-IoT,HBOS
0.9547008413034985,0.9256292906178489,0.13679404802164355,0.05094764119200908,CIC-ToN-IoT,HBOS
0.5915794400566782,0.2717862692470688,0.4149169319685897,0.05,CIC-IDS2017,OC-SVM
0.49524705067483754,0.1689149991206172,0.285198891966759,0.05000377989265105,CIC-IDS2018,OC-SVM
0.5345533506307336,0.1427864055818141,0.1287442162513191,0.04999947675209561,UNSW-NB15,OC-SVM
,1.0,1.0,0.0,BoT-IoT,OC-SVM
0.9526749917735469,0.9221967963386728,0.13570165838875325,0.05121882627080341,CIC-ToN-IoT,OC-SVM
0.8009370395633681,0.2018434807176155,0.32551914248937797,0.05,CIC-IDS2017,LOF
0.7671878701699296,0.16997550853263824,0.28673276446129115,0.05000377989265105,CIC-IDS2018,LOF
0.5892245733863736,0.16443844249381048,0.14683066039631817,0.05000156974371318,UNSW-NB15,LOF
,0.781046,0.8770643767763437,0.0,BoT-IoT,LOF
0.785606179668768,0.011441647597254004,0.015209125475285171,0.002164458684451051,CIC-ToN-IoT,LOF
