auc,recall,f1,fpr,seed,dataset
0.895405474893668,0.5075187173329566,0.6566387410871557,0.05,42,CIC-IDS2017
0.9418893751962525,0.6895306195842488,0.8087589173278652,0.05000377989265105,42,CSE-CIC-IDS2018
0.8786239184034192,0.3340085527796534,0.27725361980383,0.05000156974371318,42,UNSW-NB15
,0.911876,0.9539070525494331,0.0,42,BoT-IoT
0.9498980280668627,0.9221967963386728,0.13838097690788909,0.0500637787129757,42,CIC-ToN-IoT
0.9339576918637214,0.4530759994349484,0.6075989533383062,0.05,123,CIC-IDS2017
0.9664393036510122,0.6991539549913506,0.8154441525678001,0.05000377989265105,123,CSE-CIC-IDS2018
0.8906317196798996,0.3990997074049066,0.3225700824070874,0.05000156974371318,123,UNSW-NB15
,0.85323,0.9208031383044738,0.0,123,BoT-IoT
0.9583297402095671,0.937070938215103,0.13864906043676994,0.05082711449032271,123,CIC-ToN-IoT
0.8970727824924908,0.3956279135471112,0.5518141605997616,0.05,456,CIC-IDS2017
0.948140853162496,0.6763503776096013,0.7994793323166144,0.05000377989265105,456,CSE-CIC-IDS2018
0.869115258078244,0.38933153274814314,0.3159221244110019,0.05000156974371318,456,UNSW-NB15
,0.881458,0.9369946073736432,0.0,456,BoT-IoT
0.9486544356733663,0.9302059496567505,0.1448294290549568,0.04790936392033185,456,CIC-ToN-IoT
0.9217074153493009,0.5413088006780619,0.6853753473782583,0.05,789,CIC-IDS2017
0.954288908097123,0.6442279675232118,0.7762462044534413,0.05000377989265105,789,CSE-CIC-IDS2018
0.8753144203252559,0.3638532523069998,0.2983317339632391,0.05000156974371318,789,UNSW-NB15
,0.772586,0.8717049553590066,0.0,789,BoT-IoT
0.9481927326765791,0.9130434782608695,0.13883089770354906,0.04933559655695389,789,CIC-ToN-IoT
0.9143412086401163,0.5124099449074728,0.6608759815621186,0.05,999,CIC-IDS2017
0.9846170748281867,0.9420211104373551,0.9624022645263978,0.049995380131204276,999,CSE-CIC-IDS2018
0.9072678929472991,0.5558406482106685,0.4224932852034968,0.05000156974371318,999,UNSW-NB15
,0.715904,0.8344336279885122,0.0,999,BoT-IoT
0.9616179052574165,0.9267734553775744,0.14419225634178906,0.047964605325271435,999,CIC-ToN-IoT
