w_AE,w_VAE,w_SVDD,tau_p95,fpr_p95,score_std
0.3,0.0,0.7,0.7,0.030782,0.201688
0.4,0.0,0.6,0.6,0.033138,0.184486
0.0,0.1,0.9,0.9,0.036667,0.249504
0.5,0.0,0.5,0.5,0.037684,0.169709
0.0,0.2,0.8,0.8,0.04104,0.24125
0.1,0.1,0.8,0.8,0.041991,0.228702
0.2,0.1,0.7,0.7,0.044031,0.209203
0.5,0.4,0.1,0.5,0.045853,0.191143
0.6,0.1,0.3,0.4,0.046442,0.153939
0.3,0.1,0.6,0.6,0.046944,0.191405
0.1,0.2,0.7,0.7,0.047578,0.221755
0.6,0.2,0.2,0.4,0.04828,0.158665
0.0,0.3,0.7,0.7,0.048371,0.238551
0.6,0.0,0.4,0.4,0.04942,0.158037
0.3,0.5,0.2,0.609375,0.049991,0.219139
0.1,0.6,0.3,0.7,0.049996,0.253403
0.1,0.4,0.5,0.617399,0.049996,0.226237
0.1,0.9,0.0,0.901173,0.049998,0.323148
0.2,0.7,0.1,0.750652,0.049998,0.268049
0.0,0.9,0.1,0.924002,0.05,0.327111
0.0,0.8,0.2,0.852193,0.05,0.302925
0.1,0.8,0.1,0.840243,0.05,0.297095
0.2,0.8,0.0,0.803323,0.05,0.293557
0.0,0.7,0.3,0.78357,0.05,0.281569
0.1,0.7,0.2,0.771478,0.05,0.273608
0.3,0.7,0.0,0.707446,0.05,0.265044
0.0,0.6,0.4,0.726449,0.05,0.263731
0.0,0.5,0.5,0.683917,0.05,0.250165
0.2,0.6,0.2,0.689797,0.05,0.245522
0.0,0.4,0.6,0.665746,0.05,0.241592
0.1,0.0,0.9,0.864401,0.05,0.241226
0.3,0.6,0.1,0.66161,0.05,0.240328
0.4,0.6,0.0,0.615222,0.05,0.237997
0.1,0.5,0.4,0.650252,0.05,0.237319
0.2,0.5,0.3,0.633685,0.05,0.226863
0.1,0.3,0.6,0.629614,0.05,0.220911
0.2,0.0,0.8,0.782507,0.05,0.220748
0.4,0.5,0.1,0.576502,0.05,0.214443
0.2,0.4,0.4,0.591693,0.05,0.213092
0.5,0.5,0.0,0.528956,0.05,0.212975
0.2,0.3,0.5,0.567932,0.05,0.205196
0.2,0.2,0.6,0.604965,0.05,0.203857
0.3,0.4,0.3,0.564057,0.05,0.202588
0.4,0.4,0.2,0.535721,0.05,0.195153
0.3,0.3,0.4,0.533277,0.05,0.19188
0.6,0.4,0.0,0.460166,0.05,0.190777
0.3,0.2,0.5,0.530004,0.05,0.188013
0.4,0.3,0.3,0.49942,0.05,0.181491
0.4,0.1,0.5,0.505726,0.05,0.175824
0.4,0.2,0.4,0.48703,0.05,0.174782
0.5,0.3,0.2,0.474435,0.05,0.174553
0.7,0.3,0.0,0.390535,0.05,0.172495
0.6,0.3,0.1,0.415052,0.05,0.171486
0.5,0.2,0.3,0.454184,0.05,0.164795
0.5,0.1,0.4,0.45615,0.05,0.163099
0.8,0.2,0.0,0.330283,0.05,0.159484
0.7,0.2,0.1,0.351548,0.05,0.156845
0.9,0.1,0.0,0.285128,0.05,0.153092
0.7,0.0,0.3,0.333073,0.05,0.150196
0.7,0.1,0.2,0.33284,0.05,0.149003
0.8,0.1,0.1,0.300284,0.05,0.148712
0.9,0.0,0.1,0.264469,0.05,0.14816
0.8,0.0,0.2,0.28965,0.05,0.146802
